Month of Year;Sessions
201001;27494
201002;20723
201003;45665
201004;1420
201005;15919
201006;9457
201007;1070
201008;50678
201009;2779
201010;34960
201011;15420
201012;7131
201101;30294
201102;3397
201103;1941
201104;28034
201105;62515
201106;92884
201107;12060
201108;3251
201109;33193
201110;18444
201111;347
201112;2988
201201;4460
201202;0
201203;23829
201204;23056
201205;11034
201206;20605
201207;56244
201208;10436
201209;40400
201210;32104
201211;271
201212;13185
201301;16966
201302;9785
201303;28353
201304;51204
201305;59633
201306;17353
201307;70587
201308;17419
201309;3900
201310;23457
201311;4701
201312;14924
201401;61898
201402;40447
201403;1002
201404;10369
201405;30983
201406;26862
201407;22475
201408;15587
201409;14678
201410;4034
201411;3173
201412;2741
201501;30
201502;9195
201503;1511
201504;29397
201505;101094
201506;1166
201507;55900
201508;37690
201509;45925
201510;34978
201511;517
201512;30649
201601;18447
201602;6516
201603;2039
201604;90690
201605;86901
201606;36287
201607;17390
201608;23331
201609;27281
201610;1650
201611;34079
201612;10665
